Date,Close,High,Low,Open,Volume
2020-01-02,72.3338851928711,72.39409318664748,71.09119131937346,71.34406195339083,135480400
2020-01-03,71.6306381225586,72.38925722098051,71.40666619485818,71.56320547713457,146322800
2020-01-06,72.201416015625,72.23995000976231,70.50355369984423,70.75402098693286,118387200
2020-01-07,71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000
2020-01-08,73.017822265625,73.31886213203573,71.56560624404386,71.56560624404386,132079200
2020-01-09,74.56878662109375,74.76144921222713,73.7427349209394,73.99319481949146,170108400
2020-01-10,74.73736572265625,75.30091887725054,74.23643856809193,74.80239504412852,140644800
2020-01-13,76.33406829833984,76.36056362612658,74.93483570619189,75.0528483215238,121532000
2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400
2020-01-15,74.98062133789062,75.98248317068368,74.54953007278792,75.10344798902688,121923600
2020-01-16,75.91986083984375,76.03064882750155,75.1612416745226,75.52248959606675,108829200
2020-01-17,76.7603530883789,76.76275640961391,75.86204746774389,76.16790133072386,137816400
2020-01-21,76.24018859863281,76.83022259346987,76.10291259365572,76.38950326386008,110843200
2020-01-22,76.51232147216797,77.0638214037391,76.41839347401398,76.72424743670398,101832400
2020-01-23,76.88076782226562,76.96023911310208,76.01858552983758,76.56527863051073,104472000
2020-01-24,76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600
2020-01-27,74.40504455566406,75.08418516629278,73.42485661478304,74.67236453066312,161940000
2020-01-28,76.5098876953125,76.68087628820244,75.18531223152581,75.28405419350632,162234000
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200
2020-01-30,77.99824523925781,78.05122856412287,76.76518678742532,77.19627805111793,126743200
2020-01-31,74.53988647460938,77.71163859900423,74.24607125177067,77.29018275843434,199588400
2020-02-03,74.33517456054688,75.498389394716,72.78421654858387,73.28514366287956,173788400
2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400
2020-02-05,77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800
2020-02-06,78.32093811035156,78.32334878116308,77.12882464602528,77.68514573263211,105425600
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000
2020-02-10,77.623291015625,77.623291015625,75.7644885208781,75.8441484328751,109348800
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200
2020-02-12,78.98724365234375,78.99206907115294,77.60399867366895,77.60399867366895,113730400
2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600
2020-02-18,77.00772857666016,77.18878123005356,75.94796350927948,76.12901616267288,152531200
2020-02-19,78.12297821044922,78.35231441979775,77.24909895722334,77.24909895722334,93984000
2020-02-20,77.32154083251953,78.37164756799683,76.81700838375629,77.88401513292217,100566000
2020-02-21,75.57138061523438,77.3577728316972,74.9558044913532,76.91600019658557,129554000
2020-02-24,71.98168182373047,73.43010258149737,69.82112528029087,71.75959476642028,222195200
2020-02-25,69.54351806640625,73.03180163978591,69.07278565467855,72.65038734565039,230673600
2020-02-26,70.64673614501953,71.90927916190874,69.16210602316792,69.16934783382864,198054800
2020-02-27,66.02867889404297,69.04139705399142,65.8934935311334,67.85852144500781,320605600
2020-02-28,65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000
2020-03-02,72.13378143310547,72.76867383608672,67.04258234775999,68.14338175177791,341397200
2020-03-03,69.8428726196289,73.38667475068135,68.99312746023453,73.30701482551375,319475600
2020-03-04,73.08248138427734,73.24180855249296,70.76259766156525,71.5616425276586,219178400
2020-03-05,70.71190643310547,72.31240522279981,70.34738484234605,71.33954955045269,187572800
2020-03-06,69.77287292480469,70.20498737405435,67.889928042293,68.07580613740882,226176800
2020-03-09,64.25436401367188,67.13188921300795,63.48911178224734,63.67016438238683,286744800
2020-03-10,68.882080078125,69.14762542571471,65.0268655374001,66.90257561810807,285290000
2020-03-11,66.48976135253906,67.88748961967876,65.627949126833,66.96291749628936,255598800
2020-03-12,59.923587799072266,65.17894285229022,59.86806602728879,61.78481034349421,418474000
