,Date,Close,High,Low,Open,Volume,Returns
1,2020-01-03,71.63064575195312,72.38926493117573,71.40667380039741,71.56321309934685,146322800,-0.009721921179797977
2,2020-01-06,72.2013931274414,72.23992710936326,70.50353134989086,70.7539985575802,118387200,0.00796792168347471
3,2020-01-07,71.86183166503906,72.46631471524569,71.64267376172208,72.21103349810856,108872000,-0.00470297660050667
4,2020-01-08,73.01783752441406,73.31887745373415,71.56562119935828,71.56562119935828,132079200,0.016086507017568863
5,2020-01-09,74.56881713867188,74.7614798086532,73.74276510045252,73.9932251015063,170108400,0.021241105828958995
6,2020-01-10,74.73737335205078,75.30092656417412,74.23644614635045,74.8024026801614,140644800,0.0022604115211517506
7,2020-01-13,76.33409118652344,76.36058652225458,74.93485817482635,75.05287082554342,121532000,0.0213643825419354
8,2020-01-14,75.3033218383789,76.48099343710987,75.18050255877637,76.27147084582813,161954400,-0.013503394513806888
9,2020-01-15,74.98059844970703,75.98245997667709,74.54950731619692,75.10342506334987,121923600,-0.004285646114849051
10,2020-01-16,75.91986083984375,76.03064882750155,75.1612416745226,75.52248959606675,108829200,0.012526739043923873
11,2020-01-17,76.7603759765625,76.76277929851412,75.86207008807327,76.16792404225187,137816400,0.011071083737783205
12,2020-01-21,76.24015808105469,76.83019183971173,76.1028821310267,76.38947268651397,110843200,-0.006777167111149285
13,2020-01-22,76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400,0.0035696165796885726
14,2020-01-23,76.88079071044922,76.96026202494508,76.01860816134078,76.56530142477,104472000,0.004816016080376295
15,2020-01-24,76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600,-0.0028821309370453685
16,2020-01-27,74.4050521850586,75.08419286532549,73.4248641436704,74.67237218746828,161940000,-0.029404921000219297
17,2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,0.02828898143117109
18,2020-01-29,78.11141204833984,78.95673430952284,77.39855173256706,78.1379073772642,216229200,0.02093215154505179
19,2020-01-30,77.99824523925781,78.05122856412287,76.76518678742532,77.19627805111793,126743200,-0.001448787137684815
20,2020-01-31,74.53990936279297,77.71166246110458,74.24609404973549,77.29020649112265,199588400,-0.04433863692518314
21,2020-02-03,74.33519744873047,75.49841264105945,72.7842389592195,73.28516622775322,173788400,-0.0027463397234110953
22,2020-02-04,76.78923797607422,76.97949719827238,75.5320954065306,75.93669115659857,136616400,0.03301317022849526
23,2020-02-05,77.41544342041016,78.21259669148851,76.81336346644713,77.91396003658885,118826800,0.008154859467820907
24,2020-02-06,78.32096099853516,78.32337167005116,77.12884718583062,77.6851684350144,105425600,0.011696859671881166
